T = 72 sec			-> Ukupno vrijeme uzimanja uzoraka
fs = 10 Hz			-> Frekvencija uzimanja uzoraka
omega = 20 deg/s	-> Kutna brzina
n = [1, 0, 0]		-> Nenormalizirani vektor osi rotacije

Legenda:
	a_i	-> Mjerenje akcelerometra u inercijalnom sustavu (x, y, i z komponenta)
	m_i	-> Mjerenje magnetometra u inercijalnom sustavu (x, y, i z komponenta)
	w_i	-> Mjerenje ziroskopa u inercijalnom sustavu (x, y, i z komponenta)
	a_b	-> Mjerenje akcelerometra u sustavu tijela (x, y, i z komponenta)
	m_b	-> Mjerenje magnetometra u sustavu tijela (x, y, i z komponenta)
	w_b	-> Mjerenje ziroskopa u sustavu tijela (x, y, i z komponenta)
	qib	-> Kvaternion rotacije iz inercijalnog u sustav tijela (cetiri komponente)

Format podataka:
------------------------------------------------------------------------------------------------------------------------------------------------------
a_i_x, a_i_y, a_i_z, m_i_x, m_i_y, m_i_z, w_i_x, w_i_y, w_i_z, a_b_x, a_b_y, a_b_z, m_b_x, m_b_y, m_b_z, w_b_x, w_b_y, w_b_z, qib1, qib2, qib3, qib4
------------------------------------------------------------------------------------------------------------------------------------------------------

0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.3491,0.0000,0.0000,0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.3491,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.3491,0.0000,0.0000,0.0000,-0.3424,-9.8040,22.2000,3.1892,42.6147,0.3491,0.0000,0.0000,0.9998,0.0175,0.0000,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.3491,0.0000,0.0000,0.0000,-0.6843,-9.7861,22.2000,4.6745,42.4774,0.3491,0.0000,0.0000,0.9994,0.0349,0.0000,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.3491,0.0000,0.0000,0.0000,-1.0254,-9.7563,22.2000,6.1541,42.2884,0.3491,0.0000,0.0000,0.9986,0.0523,0.0000,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.3491,0.0000,0.0000,0.0000,-1.3653,-9.7145,22.2000,7.6261,42.0479,0.3491,0.0000,0.0000,0.9976,0.0698,0.0000,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.3491,0.0000,0.0000,0.0000,-1.7035,-9.6610,22.2000,9.0890,41.7561,0.3491,0.0000,0.0000,0.9962,0.0872,0.0000,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.3491,0.0000,0.0000,0.0000,-2.0396,-9.5956,22.2000,10.5407,41.4135,0.3491,0.0000,0.0000,0.9945,0.1045,0.0000,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.3491,0.0000,0.0000,0.0000,-2.3733,-9.5186,22.2000,11.9796,41.0204,0.3491,0.0000,0.0000,0.9925,0.1219,0.0000,0.0000
0.0000,0.0000,-9.8100,22.2000,1.7000,42.7000,0.3491,0.0000,0.0000,0.0000,-2.7040,-9.4300,22.2000,13.4039,40.5773,0.3491,0.0000,0.0000,0.9903,0.1392,0.0000,0.0000
